name	description	median_diff
Hs~Ref:NM_001007097.1~CAT:PV3616	neurotrophic tyrosine kinase, receptor, type 2 (NTRK2), transcript variant b	93.5
Hs~Ref:NM_182492.1~uORF:IOH43816	low density lipoprotein receptor-related protein 5-like (LRP5L)	93.5
Hs~Ref:NM_006664.2~uORF:IOH34759	chemokine (C-C motif) ligand 27 (CCL27)	93.5
Hs~MGC:BC065717.1~uORF:IOH40735	V-set domain containing T cell activation inhibitor 1 (VTCN1)	93.5
Hs~Ref:NM_018948.2~uORF:IOH14139	ERBB receptor feedback inhibitor 1 (ERRFI1)	93.0
Hs~Ref:NM_003633.1~uORF:IOH3669	ectodermal-neural cortex (with BTB-like domain) (ENC1)	93.0
Hs~MGC:BC017249.1~uORF:IOH12653	enolase 3 (beta, muscle) (ENO3)	93.0
Hs~Ref:NM_199123.1~uORF:IOH42083	SET domain containing 3 (SETD3), transcript variant 2	93.0
Hs~Ref:NM_032037.2~uORF:IOH10991	testis-specific serine kinase 6 (TSSK6)	93.0
Hs~Ref:NM_002068.1~uORF:IOH9848	guanine nucleotide binding protein (G protein), alpha 15 (Gq class) (GNA15)	93.0
Hs~Ref:NM_018988.1~uORF:IOH42390	Glucose-fructose oxidoreductase domain-containing protein 1	93.0
Hs~Ref:NM_000215.1~CAT:PV3855	Tyrosine-protein kinase JAK3	93.0
Hs~Ref:NM_001039656.1~uORF:IOH62081	Tesmin	93.0
Hs~MGC:BC054022.1~uORF:IOH29469	P antigen family, member 2 (prostate associated) (PAGE2)	93.0
Hs~Ref:NM_018189.2~uORF:IOH45471	Developmental pluripotency-associated protein 4	93.0
Hs~Ref:NM_001638.1~uORF:IOH14362	Apolipoprotein F	93.0
Hs~Ref:NM_173799.2~uORF:IOH42215	V-set and transmembrane domain containing 3 (VSTM3)	93.0
Hs~MGC:BC037845.1~uORF:IOH62213	Multiple coagulation factor deficiency protein 2	93.0
Hs~MGC:BC005922.1~uORF:IOH7526	islet cell autoantigen 1, 69kDa (ICA1)	92.5
Hs~Ref:NM_001001391.1~uORF:IOH53593	CD44 antigen	92.5
Hs~MGC:BC020225.1~uORF:IOH13323	Putative phosphatidylinositol 4-kinase alpha-like protein P2	92.5
Hs~Ref:NM_203326.1~uORF:IOH3915	5-azacytidine induced 2 (AZI2), transcript variant 2	92.5
Hs~Ref:NM_173475.1~uORF:IOH26231	DCN1, defective in cullin neddylation 1, domain containing 3 (S. cerevisiae) (DCUN1D3)	92.5
Hs~Ref:NM_006977.1~uORF:IOH26026	zinc finger and BTB domain containing 25 (ZBTB25)	92.5
Hs~Ref:NM_006293.2~CAT:PV3828	TYRO3 protein tyrosine kinase (TYRO3)	92.5
Hs~MGC:BC002645.1~uORF:IOH5243	syntaxin 5 (STX5)	92.5
Hs~Ref:NM_145802.1~uORF:IOH14040	septin 6 (SEPT6), transcript variant V	92.5
Hs~Ref:NM_005552.3~uORF:IOH57028	Kinesin light chain 1	92.5
Hs~Ref:NM_015646.1~uORF:IOH2916	RAP1B, member of RAS oncogene family (RAP1B), transcript variant 1	92.0
Hs~Ref:NM_138455.1~uORF:IOH14338	collagen triple helix repeat containing 1 (CTHRC1)	92.0
Hs~Ref:NM_000266.1~uORF:IOH22822	Norrie disease (pseudoglioma) (NDP)	92.0
Hs~Ref:NM_014496.1~CAT:PV4557	ribosomal protein S6 kinase, 90kDa, polypeptide 6 (RPS6KA6)	92.0
Hs~Ref:NM_016490.3~uORF:IOH40879	hypothetical protein LOC51252 (LOC51252)	92.0
Hs~MGC:BC013795.1~uORF:IOH11405	Bardet-Biedl syndrome 10 protein	92.0
Hs~Ref:NM_001011669.1~uORF:IOH57339	Coiled-coil-helix-coiled-coil-helix domain-containing protein 7	92.0
Hs~MGC:BC026187.2~uORF:IOH22486	Cyclin N-terminal domain-containing protein 1	92.0
Hs~MGC:BC050425.1~uORF:IOH28857	zinc finger protein 322A (ZNF322A)	91.5
Hs~Ref:NM_001177.2~uORF:IOH7362	ADP-ribosylation factor-like 1 (ARL1)	91.5
Hs~Ref:NM_032016.1~uORF:IOH4681	STARD3 N-terminal like (STARD3NL)	91.5
Hs~MGC:BC017098.1~uORF:IOH13421	poly(rC) binding protein 4 (PCBP4)	91.5
Hs~Ref:NM_006512.1~uORF:IOH7161	serum amyloid A4, constitutive (SAA4)	91.5
Hs~MGC:BC028724.1~uORF:IOH11709	Dual specificity protein phosphatase 18	91.5
Hs~Ref:NM_016940.1~uORF:IOH12821	RWD domain containing 2B (RWDD2B)	91.5
Hs~Ref:NM_017704.2~uORF:IOH12866	ankyrin repeat domain 49 (ANKRD49)	91.5
Hs~Ref:NM_018105.1~uORF:IOH10776	THAP domain containing, apoptosis associated protein 1 (THAP1), transcript variant 1	91.5
Hs~MGC:BC036031.1~uORF:IOH27208	snRNA-activating protein complex subunit 3	91.5
Hs~Ref:NM_031300.2~uORF:IOH3726	MAX dimerization protein 3 (MXD3)	91.5
Hs~Ref:NM_003801.2~uORF:IOH4597	glycosylphosphatidylinositol anchor attachment protein 1 homolog (yeast) (GPAA1)	91.5
Hs~Ref:NM_002089.1~uORF:IOH13606	chemokine (C-X-C motif) ligand 2 (CXCL2)	91.5
Hs~Ref:NM_022823.1~uORF:IOH21980	fibronectin type III domain containing 4 (FNDC4)	91.5
Hs~MGC:BC021118.1~uORF:IOH13386	paroxysmal nonkinesigenic dyskinesia (PNKD)	91.0
Hs~MGC:BC038583.1~uORF:IOH28700	Protein FAM178B	91.0
Hs~MGC:BC094759.1~uORF:IOH62624	Synphilin-1	91.0
Hs~Ref:NM_144601.2~uORF:IOH26681	CKLF-like MARVEL transmembrane domain containing 3 (CMTM3), transcript variant 1	91.0
Hs~MGC:BC005212.1~uORF:IOH7144	Non-SMC element 4 homolog A	91.0
Hs~Ref:NM_030574.1~uORF:IOH5593	StAR-related lipid transfer protein 5	91.0
Hs~Ref:NM_145268.1~uORF:IOH10668	chromosome 7 open reading frame 45 (C7orf45)	91.0
Hs~Ref:NM_006554.3~uORF:IOH56609	Metaxin-2	91.0
Hs~MGC:NM_152315.1~uORF:IOH22681	Protein FAM55A	90.5
Hs~Ref:NM_203422.1~uORF:IOH29035	LRRN4 C-terminal-like protein	90.5
Hs~Ref:NM_004216.2~uORF:IOH14789	death effector domain containing (DEDD), transcript variant 2	90.5
Hs~MGC:BC059411.1~uORF:IOH29280	chromosome 11 open reading frame 65 (C11orf65)	90.5
Hs~MGC:BC011904.1~uORF:IOH13374	Probable O-sialoglycoprotein endopeptidase 2	90.5
Hs~Ref:NM_018127.4~uORF:IOH3722	elaC homolog 2 (E. coli) (ELAC2)	90.5
Hs~Ref:NM_025159.1~uORF:IOH13469	chromosome X open reading frame 21 (CXorf21)	90.5
Hs~MGC:BC060765.1~uORF:IOH29157	mucolipin 3 (MCOLN3)	90.5
Hs~Ref:NM_004492.1~uORF:IOH6006	general transcription factor IIA, 2, 12kDa (GTF2A2)	90.0
Hs~MGC:BC004190.1~uORF:IOH3910	calcium binding atopy-related autoantigen 1 (CBARA1)	90.0
Hs~Ref:NM_006169.1~uORF:IOH4357	nicotinamide N-methyltransferase (NNMT)	90.0
Hs~MGC:BC014323.1~uORF:IOH13941	B-cell receptor-associated protein 31 (BCAP31)	90.0
Hs~Ref:NM_080739.1~uORF:IOH11067	chromosome 20 open reading frame 141 (C20orf141)	90.0
Hs~Ref:NM_014326.2~CAT:PV3614	Death-associated protein kinase 2	90.0
Hs~Ref:NM_000496.1~uORF:IOH40269	crystallin, beta B2 (CRYBB2)	90.0
Hs~Ref:NM_004302.3~CAT:PV4312	activin A receptor, type IB (ACVR1B), transcript variant 1	89.5
Hs~Ref:NM_020898.1~uORF:IOH5116	calcium binding and coiled-coil domain 1 (CALCOCO1)	89.5
Hs~MGC:BC051374.1~uORF:IOH28132	sodium channel, voltage-gated, type V, alpha subunit (SCN5A)	89.5
Hs~Ref:NM_182688.1~uORF:IOH45834	ubiquitin-conjugating enzyme E2G 2 (UBC7 homolog, yeast) (UBE2G2), transcript variant 2	89.5
Hs~Ref:NM_020320.2~uORF:IOH14861	arginyl-tRNA synthetase 2, mitochondrial (RARS2)	89.5
Hs~Ref:NM_000483.2~uORF:IOH1565	Apolipoprotein C-II	89.5
Hs~Ref:NM_021149.1~uORF:IOH12644	coactosin-like 1 (Dictyostelium) (COTL1)	89.5
Hs~Ref:NM_015143.1~uORF:IOH59999	Methionine aminopeptidase 1	89.5
Hs~MGC:BC096303.1~uORF:IOH63248	Ribosomal protein S6 kinase alpha-3	89.5
Hs~MGC:BC031821.1~uORF:IOH22188	Secernin-3	89.5
Hs~Ref:NM_001008711.1~uORF:IOH59712	RNA-binding protein with multiple splicing	89.5
Hs~Ref:NM_017839.3~uORF:IOH40661	acyltransferase like 1 (AYTL1)	89.5
Hs~MGC:BC020960.1~uORF:IOH10418	sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4G (SEMA4G)	89.5
Hs~MGC:BC022244.1~uORF:IOH28623	pyrroline-5-carboxylate reductase 1 (PYCR1)	89.5
Hs~MGC:BC031052.1~uORF:IOH22518	TNF receptor-associated factor 6 (TRAF6)	89.0
Hs~Ref:NM_153045.2~uORF:IOH41169	chromosome 9 open reading frame 91 (C9orf91)	89.0
Hs~Ref:NM_032360.1~uORF:IOH6003	acyl-Coenzyme A binding domain containing 6 (ACBD6)	89.0
Hs~Ref:NM_032602.1~uORF:IOH35940	Gap junction alpha-10 protein	89.0
Hs~MGC:BC063392.1~uORF:IOH39855	WD repeat domain 73 (WDR73)	89.0
Hs~Ref:NM_001001660.1~uORF:IOH45936	LYR motif containing 5 (LYRM5)	89.0
Hs~MGC:BC006012.1~uORF:IOH40621	Selenoprotein T	89.0
Hs~MGC:BC063107.1~uORF:IOH40711	thyroid peroxidase (TPO)	89.0
Hs~MGC:BC012094.1~uORF:IOH13126	RAB GTPase activating protein 1-like (RABGAP1L)	89.0
Hs~MGC:BC015202.1~uORF:IOH9835	Centromere protein T	89.0
Hs~MGC:BC032455.1~uORF:IOH21667	chromosome 20 open reading frame 160 (C20orf160)	88.5
Hs~MGC:BC036015.1~uORF:IOH27212	exostoses (multiple)-like 2 (EXTL2)	88.5
Hs~Ref:NM_003495.2~uORF:IOH12149	histone cluster 1, H4i (HIST1H4I)	88.5
Hs~MGC:NM_181671.1~uORF:IOH6747	phosphatidylinositol transfer protein, cytoplasmic 1 (PITPNC1), transcript variant 2	88.5
Hs~Ref:NM_203379.1~uORF:IOH45817	acyl-CoA synthetase long-chain family member 5 (ACSL5), transcript variant 2	88.5
Hs~Ref:NM_052844.1~uORF:IOH13517	WD repeat domain 34 (WDR34)	88.5
Hs~Ref:NM_145651.1~uORF:IOH40401	secretoglobin, family 1C, member 1 (SCGB1C1)	88.5
Hs~Ref:NM_006861.2~uORF:IOH10011	RAB35, member RAS oncogene family (RAB35)	88.5
Hs~MGC:BC001798.1~uORF:IOH4437	Sorting nexin-6	88.5
Hs~MGC:BC010464.1~uORF:IOH9638	mitogen-activated protein kinase kinase kinase 3 (MAP3K3)	88.5
Hs~MGC:BC014891.1~uORF:IOH10029	KIAA0701 protein (KIAA0701)	88.5
Hs~Ref:NM_015987.2~uORF:IOH9993	heme binding protein 1 (HEBP1)	88.0
Hs~Ref:NM_001003937.1~uORF:IOH40055	Testis-specific Y-encoded-like protein 6	88.0
Hs~MGC:NM_152474.2~uORF:IOH25857	chromosome 19 open reading frame 18 (C19orf18)	88.0
Hs~MGC:BC053347.1~uORF:IOH28937	myelin associated glycoprotein (MAG)	88.0
Hs~Ref:NM_017812.1~uORF:IOH11162	coiled-coil-helix-coiled-coil-helix domain containing 3 (CHCHD3)	88.0
Hs~Ref:NM_033177.2~uORF:IOH6217	HLA-B associated transcript 4 (BAT4)	88.0
Hs~MGC:BC015468.1~uORF:IOH11236	chromosome 21 open reading frame 91 (C21orf91)	88.0
Hs~Ref:NM_000759.2~uORF:IOH59727	Granulocyte colony-stimulating factor	88.0
Hs~MGC:BC055096.1~uORF:IOH29497	zinc finger protein 695 (ZNF695)	88.0
Hs~Ref:NM_000454.1~uORF:IOH4089	superoxide dismutase 1, soluble (amyotrophic lateral sclerosis 1 (adult)) (SOD1)	87.5
Hs~MGC:NM_173509.2~uORF:IOH14185	UPF0417 protein FAM163A	87.5
Hs~MGC:BC017785.1~uORF:IOH12191	protein tyrosine phosphatase, non-receptor type 22 (lymphoid) (PTPN22)	87.5
Hs~MGC:BC033088.1~uORF:IOH23217	lamin A/C (LMNA)	87.5
Hs~MGC:BC009621.1~uORF:IOH9897	recombination activating gene 1 activating protein 1 (RAG1AP1)	87.5
Hs~Ref:NM_003278.1~uORF:IOH14450	C-type lectin domain family 3, member B (CLEC3B)	87.5
Hs~Ref:NM_015922.1~uORF:IOH4468	Sterol-4-alpha-carboxylate 3-dehydrogenase, decarboxylating	87.5
Hs~MGC:BC025697.1~uORF:IOH11332	transcription factor 21 (TCF21)	87.5
Hs~MGC:BC011776.1~uORF:IOH13876	tropomyosin 2 (beta) (TPM2)	87.5
Hs~MGC:BC001918.1~uORF:IOH5019	acetyl-Coenzyme A acyltransferase 2 (mitochondrial 3-oxoacyl-Coenzyme A thiolase) (ACAA2)	87.0
Hs~Ref:NM_002297.2~uORF:IOH40729	lipocalin 1 (tear prealbumin) (LCN1)	87.0
Hs~MGC:NM_183247.1~uORF:IOH44636	transmembrane protease, serine 4 (TMPRSS4), transcript variant 2	87.0
Hs~Ref:NM_000594.2~uORF:IOH21536	tumor necrosis factor (TNF superfamily, member 2) (TNF); see catalog number for detailed information on wild-type or point mutant status	87.0
Hs~Ref:NM_012368.1~uORF:IOH28406	olfactory receptor, family 2, subfamily C, member 1 (OR2C1)	87.0
Hs~MGC:BC007022.1~uORF:IOH7234	serum amyloid A1 (SAA1)	87.0
Hs~MGC:BC013158.1~uORF:IOH9772	amyloid beta (A4) precursor protein-binding, family B, member 3 (APBB3)	87.0
Hs~MGC:BC000175.2~uORF:IOH2926	Hermansky-Pudlak syndrome 1 (HPS1)	87.0
Hs~Ref:NM_021969.1~uORF:IOH22604	nuclear receptor subfamily 0, group B, member 2 (NR0B2)	87.0
Hs~Ref:NM_005780.1~uORF:IOH13636	Lipoma HMGIC fusion partner	87.0
Hs~Ref:NM_014955.2~uORF:IOH45543	KIAA0859 (KIAA0859), transcript variant 2	87.0
Hs~MGC:BC004967.1~uORF:IOH4830	UBA domain containing 1 (UBADC1)	87.0
Hs~Ref:NM_001321.1~uORF:IOH1779	cysteine and glycine-rich protein 2 (CSRP2)	87.0
Hs~MGC:BC038381.1~uORF:IOH62022	Breast carcinoma-amplified sequence 4	87.0
Hs~MGC:BC009615.1~uORF:IOH9891	OTU domain, ubiquitin aldehyde binding 2 (OTUB2)	87.0
Hs~Ref:NM_001261.2~CAT:PV4335	cyclin K and cyclin-dependent kinase 9 (CDC2-related kinase) (CDK9): cyclin K and CDK9 sequences are seperated by -- (in the protein list file).	87.0
Hs~MGC:NM_182553.1~uORF:IOH26395	cornichon homolog 2 (Drosophila) (CNIH2)	86.5
Hs~MGC:BC012095.1~uORF:IOH13147	bone marrow stromal cell antigen 1 (BST1)	86.5
Hs~Ref:NM_000222.1~CAT:PV4132	v-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog (KIT), transcript variant 1; see catalog number for detailed information on wild-type or point mutant status	86.5
Hs~MGC:BC047690.1~uORF:IOH28834	Ras-related protein M-Ras	86.5
Hs~MGC:BC031469.1~uORF:IOH21458	hypothetical LOC554207 (LOC554207)	86.5
Hs~MGC:NM_173545.1~uORF:IOH26160	chromosome 2 open reading frame 13 (C2orf13)	86.5
Hs~MGC:BC026325.1~uORF:IOH11158	nucleosome assembly protein 1-like 2 (NAP1L2)	86.5
Hs~MGC:BC017382.1~uORF:IOH14830	ubiquitin specific peptidase 53 (USP53)	86.5
Hs~Ref:NM_000864.3~uORF:IOH6478	5-hydroxytryptamine (serotonin) receptor 1D (HTR1D)	86.5
Hs~MGC:BC017012.1~uORF:IOH11877	Protein IWS1 homolog	86.5
Hs~Ref:NM_080574.2~uORF:IOH40713	chromosome 20 open reading frame 70 (C20orf70)	86.0
Hs~Ref:NM_152743.2~uORF:IOH46177	chromosome 7 open reading frame 27 (C7orf27)	86.0
Hs~MGC:BC058915.1~uORF:IOH29066	SEC14-like 2 (S. cerevisiae) (SEC14L2)	86.0
Hs~MGC:BC047411.1~uORF:IOH26516	tubulin tyrosine ligase-like family, member 2 (TTLL2)	86.0
Hs~MGC:NM_153001.1~uORF:IOH13837	proteasome (prosome, macropain) 26S subunit, ATPase, 4 (PSMC4), transcript variant 2	86.0
Hs~Ref:NM_014220.2~uORF:IOH59024	Transmembrane 4 L6 family member 1	86.0
Hs~Ref:NM_170603.1~uORF:IOH39528	RAS guanyl-releasing protein 4	86.0
Hs~Ref:NM_000151.1~uORF:IOH39425	glucose-6-phosphatase, catalytic subunit (G6PC)	86.0
Hs~Ref:NM_004240.2~uORF:IOH12722	thyroid hormone receptor interactor 10 (TRIP10)	86.0
Hs~Ref:NM_004552.1~uORF:IOH4963	NADH dehydrogenase (ubiquinone) Fe-S protein 5, 15kDa (NADH-coenzyme Q reductase) (NDUFS5)	86.0
Hs~Ref:NM_003503.2~N/A	Cell division cycle 7-related protein kinase	86.0
Hs~MGC:BC031258.1~uORF:IOH62179	NudC domain-containing protein 1	86.0
Hs~Ref:NM_138801.1~uORF:IOH10118	galactose mutarotase (aldose 1-epimerase) (GALM)	86.0
Hs~Ref:NM_173665.1~uORF:IOH27294	Uncharacterized protein C5orf36	86.0
Hs~MGC:BC022854.1~uORF:IOH12377	membrane-spanning 4-domains, subfamily A, member 6A (MS4A6A)	85.5
Hs~MGC:BC029167.1~uORF:IOH22650	CD177 molecule (CD177)	85.5
Hs~Ref:NM_022100.1~uORF:IOH12979	mitochondrial ribosomal protein S14 (MRPS14), nuclear gene encoding mitochondrial protein	85.5
Hs~MGC:BC044215.1~uORF:IOH26376	Interleukin-18-binding protein	85.5
Hs~MGC:BC044574.1~uORF:IOH26906	enoyl Coenzyme A hydratase domain containing 2 (ECHDC2)	85.5
Hs~Ref:NM_152721.2~uORF:IOH42262	Docking protein 6	85.5
Hs~MGC:BC010947.1~uORF:IOH14455	signal recognition particle 19kDa (SRP19)	85.5
Hs~Ref:NM_138403.3~uORF:IOH40584	myosin light chain 2, precursor lymphocyte-specific (MYLC2PL)	85.5
Hs~MGC:BC003127.1~uORF:IOH46076	selenoprotein X, 1 (SEPX1)	85.5
Hs~Ref:NM_032775.1~uORF:IOH12694	kelch-like 22 (Drosophila) (KLHL22)	85.5
Hs~MGC:BC022407.1~uORF:IOH13027	SH2 domain containing 1B (SH2D1B)	85.5
Hs~Ref:NM_022458.2~uORF:IOH10735	limb region 1 homolog (mouse) (LMBR1)	85.5
Hs~Ref:NM_016364.2~uORF:IOH12214	dual specificity phosphatase 13 (DUSP13), transcript variant 6	85.5
Hs~MGC:BC012105.1~uORF:IOH14609	nuclear VCP-like (NVL)	85.0
Hs~MGC:BC000884.1~uORF:IOH3230	signal peptidase complex subunit 1 homolog (S. cerevisiae) (SPCS1)	85.0
Hs~MGC:BC024038.1~uORF:IOH27782	tubulin, beta 2C (TUBB2C)	85.0
Hs~Ref:NM_014062.1~uORF:IOH39919	NIN1/RPN12 binding protein 1 homolog (S. cerevisiae) (NOB1)	85.0
Hs~MGC:BC009699.2~uORF:IOH9878	metallothionein 1E (MT1E)	85.0
Hs~Ref:NM_016204.1~uORF:IOH40347	growth differentiation factor 2 (GDF2)	85.0
Hs~Ref:NM_016071.2~uORF:IOH11088	mitochondrial ribosomal protein S33 (MRPS33), nuclear gene encoding mitochondrial protein, transcript variant 1	85.0
Hs~Ref:NM_001161.3~uORF:IOH5534	nudix (nucleoside diphosphate linked moiety X)-type motif 2 (NUDT2), transcript variant 1	85.0
Hs~MGC:BC019823.1~uORF:IOH11439	sorting nexin family member 21 (SNX21)	85.0
Hs~MGC:BC000314.1~uORF:IOH3485	Reticulon-1	84.5
Hs~MGC:BC015614.1~uORF:IOH14601	Regulator of G-protein signaling 20	84.5
Hs~Ref:XM_374803.1~uORF:IOH42807	LINE-1 reverse transcriptase homolog	84.5
Hs~MGC:BC008417.1~uORF:IOH7579	interferon induced transmembrane protein 3 (1-8U) (IFITM3)	84.5
Hs~Ref:NM_173558.2~uORF:IOH57227	FYVE, RhoGEF and PH domain-containing protein 2	84.5
Hs~MGC:BC022964.1~uORF:IOH10646	chromosome 1 open reading frame 107 (C1orf107)	84.5
Hs~MGC:BC001001.2~uORF:IOH2958	vacuolar protein sorting 8 homolog (S. cerevisiae) (VPS8)	84.5
Hs~Ref:NM_017566.2~uORF:IOH11408	kelch domain containing 4 (KLHDC4)	84.5
Hs~MGC:BC022465.1~uORF:IOH11206	Lipid phosphate phosphatase-related protein type 1	84.5
Hs~Ref:NM_006313.1~uORF:IOH60028	Ubiquitin carboxyl-terminal hydrolase 15	84.5
Hs~Ref:NM_017706.2~uORF:IOH4301	WD repeat-containing protein 55	84.5
Hs~Ref:NM_017583.2~uORF:IOH12577	tripartite motif-containing 44 (TRIM44)	84.5
Hs~MGC:BC000232.1~uORF:IOH62785	Receptor expression-enhancing protein 5	84.0
Hs~Ref:NM_012339.3~uORF:IOH6065	tetraspanin 15 (TSPAN15)	84.0
Hs~Ref:NM_003498.2~uORF:IOH22278	stannin (SNN)	84.0
Hs~MGC:BC023973.1~uORF:IOH27304	immunoglobulin lambda variable 6-57 (IGLV6-57)	84.0
Hs~MGC:BC060830.1~uORF:IOH29146	leptin (obesity homolog, mouse) (LEP)	84.0
Hs~MGC:BC015814.1~uORF:IOH10105	EF-hand calcium binding domain 7, mRNA (cDNA clone MGC:9635 IMAGE:3915942), complete cds	84.0
Hs~Ref:NM_002486.3~uORF:IOH4014	nuclear cap binding protein subunit 1, 80kDa (NCBP1)	84.0
Hs~Ref:NM_017431.2~uORF:IOH40966	protein kinase, AMP-activated, gamma 3 non-catalytic subunit (PRKAG3)	84.0
Hs~Ref:NM_000420.2~uORF:IOH5088	Kell blood group, metallo-endopeptidase (KEL)	84.0
Hs~MGC:BC066354.1~uORF:IOH40076	chromosome 20 open reading frame 71 (C20orf71)	84.0
Hs~MGC:BC009011.1~uORF:IOH3300	fatty acid desaturase 2 (FADS2)	84.0
Hs~MGC:NM_178543.3~uORF:IOH26296	ectonucleotide pyrophosphatase/phosphodiesterase 7 (ENPP7)	83.5
Hs~Ref:NM_000737.2~uORF:IOH6333	chorionic gonadotropin, beta polypeptide (CGB)	83.5
Hs~Ref:NM_006263.1~uORF:IOH3647	proteasome (prosome, macropain) activator subunit 1 (PA28 alpha) (PSME1), transcript variant 1	83.5
Hs~Ref:NM_001039517.1~uORF:IOH63103	Uncharacterized protein C1orf104	83.5
Hs~MGC:BC045799.1~uORF:IOH26424	Zinc finger protein 428	83.5
Hs~Ref:NM_002621.1~uORF:IOH12225	complement factor properdin (CFP)	83.5
Hs~MGC:BC027911.1~uORF:IOH11846	jumonji domain containing 5 (JMJD5)	83.5
Hs~Ref:NM_025219.1~uORF:IOH28943	DnaJ (Hsp40) homolog, subfamily C, member 5 (DNAJC5)	83.5
Hs~Ref:NM_182536.2~uORF:IOH43315	gastrokine 2 (GKN2)	83.5
Hs~MGC:BC012569.1~uORF:IOH12120	zinc finger protein 673 (ZNF673)	83.5
Hs~MGC:BC046173.2~uORF:IOH28861	nudix (nucleoside diphosphate linked moiety X)-type motif 13 (NUDT13)	83.5
Hs~Ref:NM_138432.1~uORF:IOH12304	serine dehydratase-like (SDSL)	83.5
Hs~Ref:NM_005776.2~uORF:IOH41416	cornichon homolog (Drosophila) (CNIH)	83.0
Hs~Ref:NM_030669.1~uORF:IOH36740	protein tyrosine phosphatase, receptor type, O (PTPRO), transcript variant 3	83.0
Hs~Ref:NM_138771.2~uORF:IOH40866	coiled-coil domain containing 126 (CCDC126)	83.0
Hs~Ref:NM_002755.2~CAT:P3093	mitogen-activated protein kinase kinase 1 (MAP2K1); see catalog number for detailed information on wild-type or point mutant status	83.0
Hs~MGC:BC022003.1~uORF:IOH11205	myotubularin related protein 9 (MTMR9)	83.0
Hs~Ref:NM_002734.1~uORF:IOH25740	protein kinase, cAMP-dependent, regulatory, type I, alpha (tissue specific extinguisher 1) (PRKAR1A), transcript variant 1	83.0
Hs~MGC:BC044575.1~uORF:IOH26889	tryptophanyl tRNA synthetase 2, mitochondrial (WARS2)	83.0
Hs~MGC:BC039235.1~uORF:IOH27982	Serum albumin	83.0
Hs~Ref:NM_032712.1~uORF:IOH6582	MGC13170 gene (MGC13170)	83.0
Hs~MGC:BC006142.2~uORF:IOH6636	proteasomal ATPase-associated factor 1 (WDR71)	83.0
Hs~Ref:NM_016520.1~uORF:IOH5899	chromosome 9 open reading frame 78 (C9orf78)	83.0
Hs~Ref:NM_002739.1~CAT:P2228	protein kinase C, gamma (PRKCG)	83.0
Hs~Ref:NM_005084.2~uORF:IOH25919	phospholipase A2, group VII (platelet-activating factor acetylhydrolase, plasma) (PLA2G7)	82.5
Hs~Ref:NM_001014796.1~CAT:PV3870	discoidin domain receptor family, member 2 (DDR2), transcript variant 1	82.5
Hs~MGC:BC100290.1~uORF:IOH62780	Nucleotide-binding protein 1	82.5
Hs~MGC:BC010368.1~uORF:IOH27803	OTU domain, ubiquitin aldehyde binding 1 (OTUB1)	82.5
Hs~Ref:NM_175735.3~uORF:IOH35282	lysozyme G-like 2 (LYG2)	82.5
Hs~Ref:NM_004549.2~uORF:IOH5873	NADH dehydrogenase (ubiquinone) 1, subcomplex unknown, 2, 14.5kDa (NDUFC2)	82.5
Hs~MGC:BC001017.1~uORF:IOH4237	PDZ and LIM domain protein 3	82.5
Hs~MGC:BC009249.1~uORF:IOH12481	kaptin (actin binding protein) (KPTN)	82.5
Hs~Ref:NM_130782.1~uORF:IOH12138	regulator of G-protein signaling 18 (RGS18)	82.5
Hs~Ref:NM_004162.2~uORF:IOH10188	Ras-related protein Rab-5A	82.5
Hs~MGC:BC016283.1~uORF:IOH10041	ATP-binding cassette, sub-family E (OABP), member 1 (ABCE1)	82.5
Hs~Ref:NM_002462.2~uORF:IOH21990	myxovirus (influenza virus) resistance 1, interferon-inducible protein p78 (mouse) (MX1)	82.5
Hs~MGC:BC047583.1~uORF:IOH26438	SPARC related modular calcium binding 2 (SMOC2)	82.5
Hs~MGC:BC020597.1~uORF:IOH14197	general transcription factor IIB (GTF2B)	82.5
Hs~MGC:BC042036.1~uORF:IOH26443	BolA-like protein 3	82.5
Hs~MGC:BC014679.1~uORF:IOH10445	F-box only protein 8	82.5
Hs~Ref:NM_025197.2~uORF:IOH42110	CDK5 regulatory subunit-associated protein 3	82.0
Hs~MGC:BC022073.1~uORF:IOH62089	COMM domain-containing protein 7	82.0
Hs~MGC:BC006182.1~uORF:IOH5966	calmodulin 3 (phosphorylase kinase, delta) (CALM3)	82.0
Hs~Ref:NM_000865.1~uORF:IOH39590	5-hydroxytryptamine (serotonin) receptor 1E (HTR1E)	82.0
Hs~Ref:NM_194463.1~uORF:IOH39866	ring finger protein 128 (RNF128), transcript variant 1	82.0
Hs~MGC:BC002804.1~uORF:IOH5414	Mannosyl-oligosaccharide glucosidase	82.0
Hs~MGC:NM_152452.1~uORF:IOH11129	hypothetical protein MGC18216 (MGC18216)	82.0
Hs~MGC:BC055427.1~uORF:IOH28811	TRAF2 and NCK interacting kinase (TNIK)	82.0
Hs~Ref:NM_001007072.1~uORF:IOH59911	Zinc finger and SCAN domain-containing protein 2	82.0
Hs~MGC:BC098334.1~uORF:IOH63288	RAP1, GTP-GDP dissociation stimulator 1 (RAP1GDS1), transcript variant 5, mRNA.	81.5
